#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
sydneyan;Sydneysider;;;;;;;;;;;;;x
melbournian;Melbournian;;;;;;;;;;;;;x
baylander;Baylander;;;;;;;;;;;;;x
victorian;Victorian;;;;;;;;;;;;;x
maori;Maori;;;;;;;;;;;;;x
aucklander;Aucklander;;;;;;;;;;;;;x
itaukei;iTaukei;;;;;;;;;;;;;x
wellingtonian;Wellingtonian;;;;;;;;;;;;;x
jadite;Jadite;;;;;;;;;;;;;x
southlander;Southlander;;;;;;;;;;;;;x
chathamite;Chathamite;;;;;;;;;;;;;x
polar;Polar;;;;;;;;;;;;;x
witasmen;Witasmen;;;;;;;;;;;;;x
edokko;Edokko;;;;;;;;;;;;;x
taiwanese;Taiwanese;;;;;;;;;;;;;x
tasmanian:Tasmanian;;;;;;;;;;;;;x
ryukyuan;Ryukyuan;;;;;;;;;;;;;x
chinese;Chinese;;;;;;;;;;;;;x
nihonjin;Nihonjin;;;;;;;;;;;;;x
maltraljan;Maltraljan;;;;;;;;;;;;;x
aozhouren;Aozhouren;;;;;;;;;;;;;x
motu;Motu;;;;;;;;;;;;;x
morobe;Morobe;;;;;;;;;;;;;x
kikori;Kikori;;;;;;;;;;;;;x
hailans;Hailans;;;;;;;;;;;;;x
sepik;Sepik;;;;;;;;;;;;;x
niubritish;Niubritish;;;;;;;;;;;;;x
latangai;Latangai;;;;;;;;;;;;;x
