#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_atedu_31;You are big kid now. It's time to become an adult and get your first initiation ritual done;;;;;;;;;;;;;x
EVTTITLE_atedu_31;Adulthood initiation;;;;;;;;;;;;;x
EVTOPT_atedu_31_A;I will finally become a man!;;;;;;;;;;;;;x
EVTOPT_atedu_31_B;May the gods be with me;;;;;;;;;;;;;x
EVTDESC_atedu_32;It is a day of your initiation. Today you will get your skin scared to make it look like skin of great Pukpuk.;;;;;;;;;;;;;x
EVTTITLE_atedu_32;Adulthood initiation;;;;;;;;;;;;;x
EVTOPT_atedu_32_A;That's quite fancy.;;;;;;;;;;;;;x
EVTOPT_atedu_32_B;I think I will pass.;;;;;;;;;;;;;x
EVTDESC_atedu_33A;Your ritual went without bigger complications and your skin finally looks like skin of great pukpuk. You have officialy became a man!;;;;;;;;;;;;;x
EVTDESC_atedu_33B;Your skin reacted badly to the ritual cutting and you get an infection. However if you you survive it your skin will look like skin of great Pukpuk.;;;;;;;;;;;;;x
EVTTITLE_atedu_33;Adulthood initiation;;;;;;;;;;;;;x
EVTOPT_atedu_33_A;It itches!.;;;;;;;;;;;;;x
